Corpus,Threat Model,LLM,Metric,Higher is Better,Slope,Slope Std,Slope HDI Lower,Slope HDI Upper,P(Improvement),In ROPE,Conclusion
RJ,svm,gemma-2,binary_acc5,False,0.5936935291131739,0.2876106305092309,0.027675797932964985,1.1522180906274333,0.987,0.00825,Significant Improvement
RJ,svm,gemma-2,true_class_confidence,False,0.09194482438930442,0.14786750436537316,-0.18666132831522672,0.37710682978931653,0.276875,0.066375,Inconclusive
RJ,svm,gemma-2,entropy,True,-0.0169974813271664,0.14071472754064526,-0.29062570443811464,0.2621843604959596,0.45225,0.081125,Inconclusive
RJ,svm,gemma-2,bertscore,True,0.07886082624199721,0.04981878583026977,-0.019776392407939727,0.17539731693498145,0.943,0.019375,Inconclusive
RJ,svm,gemma-2,pinc,True,-0.08305392760923604,0.053662765447849516,-0.18678024895458423,0.021443025253095417,0.059875,0.02325,Inconclusive
RJ,roberta,gemma-2,binary_acc1,False,0.047797424682829236,0.41612460770268306,-0.8444816125309187,0.8206169774721619,0.547,0.085375,Inconclusive
RJ,roberta,gemma-2,binary_acc5,False,0.5866929970630163,0.28911162507592036,0.013879432474138642,1.14072988739696,0.982875,0.010375,Significant Improvement
RJ,roberta,gemma-2,true_class_confidence,False,0.09268658846743773,0.15018910596038643,-0.20352107507390296,0.38178176778160433,0.269125,0.06375,Inconclusive
RJ,roberta,gemma-2,entropy,True,-0.015281382061033966,0.13972684138557812,-0.2847216476959381,0.26450569358383647,0.455875,0.078,Inconclusive
RJ,roberta,gemma-2,bertscore,True,0.07834906644435656,0.050139334834972835,-0.02117505015002482,0.174414294988717,0.943,0.0235,Inconclusive
RJ,roberta,gemma-2,pinc,True,-0.08362682908415357,0.054722230035493646,-0.19146699292778716,0.02265865344094705,0.062875,0.02425,Inconclusive
RJ,logreg,llama-3.1,binary_acc1,False,0.11586759758315794,0.41879651436221765,-0.6808959865244093,0.9945639123204493,0.612125,0.0815,Inconclusive
RJ,logreg,llama-3.1,binary_acc5,False,0.22848429506541554,0.2560985484060696,-0.2660127776740873,0.7396886137964067,0.818375,0.055375,Inconclusive
RJ,logreg,llama-3.1,true_class_confidence,False,0.2457507132650285,0.15740414840760714,-0.060185349449861314,0.5663579304453616,0.058,0.020875,Inconclusive
RJ,logreg,llama-3.1,entropy,True,0.21504051935303473,0.1552259867217395,-0.08802999518298812,0.5190276075723146,0.918875,0.028125,Inconclusive
RJ,logreg,llama-3.1,bertscore,True,0.03241881092638961,0.05213864142599481,-0.06609695120158038,0.1375006550784817,0.730125,0.065625,Inconclusive
RJ,logreg,llama-3.1,pinc,True,-0.013041951946174699,0.06032541100926697,-0.13572799013851594,0.09944694154206955,0.416875,0.079375,Inconclusive
RJ,svm,llama-3.1,binary_acc1,False,0.11850554331155672,0.41554218279497546,-0.704940573584344,0.9608268964764152,0.612875,0.079875,Inconclusive
RJ,svm,llama-3.1,binary_acc5,False,0.2324617940149522,0.2615406124028115,-0.28884901249147277,0.7431802208311711,0.8165,0.054375,Inconclusive
RJ,svm,llama-3.1,true_class_confidence,False,0.2458112972787711,0.16578338709226653,-0.0907508196149105,0.56334855777689,0.07,0.022125,Inconclusive
RJ,svm,llama-3.1,entropy,True,0.21540906537642165,0.1548164572817082,-0.1039306234974251,0.49816031994991866,0.921375,0.0325,Inconclusive
RJ,svm,llama-3.1,bertscore,True,0.03224827775348564,0.051658388619265146,-0.06909508911189045,0.13421502721774653,0.7405,0.065125,Inconclusive
RJ,svm,llama-3.1,pinc,True,-0.012702935879618845,0.060387755460338956,-0.12926078244808153,0.1048217940939252,0.413625,0.080375,Inconclusive
RJ,roberta,llama-3.1,binary_acc1,False,0.11313703429347793,0.4135350662963301,-0.7115321014635104,0.9156414020427821,0.608875,0.08225,Inconclusive
RJ,roberta,llama-3.1,binary_acc5,False,0.23609042976485056,0.25815276627901007,-0.2833666833127254,0.7354606252411306,0.818,0.05175,Inconclusive
RJ,roberta,llama-3.1,true_class_confidence,False,0.2416078712792032,0.16077845488204648,-0.082629594384668,0.5530989870280966,0.065,0.022625,Inconclusive
RJ,roberta,llama-3.1,entropy,True,0.21530468694965055,0.15785204531764332,-0.10389885809428226,0.514350473505483,0.91225,0.0305,Inconclusive
RJ,roberta,llama-3.1,bertscore,True,0.0329458656458454,0.052301256593650695,-0.0672535782021986,0.13649493313275968,0.733,0.066125,Inconclusive
RJ,roberta,llama-3.1,pinc,True,-0.01175046636879955,0.05935895708751396,-0.13014024290400494,0.10031122623849906,0.42225,0.0775,Inconclusive
RJ,logreg,ministral,binary_acc1,False,0.5844274953302468,0.426149364526427,-0.20963184958917244,1.4406666344682704,0.92975,0.032125,Inconclusive
RJ,logreg,ministral,binary_acc5,False,-0.015806795600540196,0.2554166480122101,-0.5187553466063711,0.49086293359645883,0.476375,0.07575,Inconclusive
RJ,logreg,ministral,true_class_confidence,False,0.29918685936938305,0.1723066345800638,-0.03299888633615185,0.6387257677768671,0.041125,0.016375,Significant Deterioration
RJ,logreg,ministral,entropy,True,0.38106995537921523,0.15948415501192723,0.08533723146796188,0.705330015540911,0.992,0.004125,Significant Improvement
RJ,logreg,ministral,bertscore,True,0.0187152628423831,0.05021600158800238,-0.08250467894265054,0.11592541754031374,0.647625,0.0765,Inconclusive
RJ,logreg,ministral,pinc,True,0.0051546207225447414,0.05167331076379972,-0.09754368265447927,0.10507948812859413,0.53625,0.082875,Inconclusive
RJ,svm,ministral,binary_acc1,False,0.5880525674583915,0.42929888550354606,-0.20539852115389695,1.4718957087571116,0.930625,0.033,Inconclusive
RJ,svm,ministral,binary_acc5,False,-0.009931356973591062,0.25710522702146016,-0.5167555262756622,0.4944748696934372,0.491125,0.080875,Inconclusive
RJ,svm,ministral,true_class_confidence,False,0.3028935635149265,0.16712240887081986,-0.00036643581443454587,0.6571746477651956,0.034375,0.013375,Significant Deterioration
RJ,svm,ministral,entropy,True,0.38442809592780736,0.15961896489343783,0.08531938692747865,0.7085801316077719,0.993,0.0045,Significant Improvement
RJ,svm,ministral,bertscore,True,0.0175914346005248,0.050529218514030576,-0.08446069773309958,0.11503057650837016,0.642125,0.07375,Inconclusive
RJ,svm,ministral,pinc,True,0.0068199970311681535,0.051446009753560895,-0.09367923978339918,0.10676607883217604,0.553125,0.07875,Inconclusive
RJ,roberta,ministral,binary_acc1,False,0.5954973255955215,0.4314256552652161,-0.20279843717361376,1.4798755727260169,0.931375,0.03325,Inconclusive
RJ,roberta,ministral,binary_acc5,False,-0.017374134784171283,0.24780289521600532,-0.5037793379536791,0.47487529521532634,0.467875,0.084125,Inconclusive
RJ,roberta,ministral,true_class_confidence,False,0.29933308676762055,0.17187368176609363,-0.024862876970827764,0.6555936861085605,0.04225,0.01525,Significant Deterioration
RJ,roberta,ministral,entropy,True,0.3841311218669213,0.15887116841017912,0.07876388639270064,0.7042155778137484,0.991125,0.004375,Significant Improvement
RJ,roberta,ministral,bertscore,True,0.01836314349917497,0.049825111574524385,-0.07465714321229337,0.12165008826570484,0.649625,0.075,Inconclusive
RJ,roberta,ministral,pinc,True,0.004991408387032953,0.05090327018349434,-0.09387217526636821,0.1061139898019251,0.54,0.07775,Inconclusive
RJ,logreg,claude-3.5,binary_acc1,False,0.99112893827163,0.6058784902687224,-0.060858192564584204,2.266575284763822,0.9745,0.019875,Significant Improvement
RJ,logreg,claude-3.5,binary_acc5,False,0.5648415216788827,0.2910621168827217,-0.0008054177529738943,1.1393269860813633,0.9805,0.011125,Significant Improvement
RJ,logreg,claude-3.5,true_class_confidence,False,0.1472920252055678,0.16106096634476208,-0.15594802955730655,0.4703473211435827,0.181375,0.0515,Inconclusive
RJ,logreg,claude-3.5,entropy,True,0.12890752491605995,0.1544592400274049,-0.17457880345910526,0.4251375832404091,0.796625,0.055375,Inconclusive
RJ,logreg,claude-3.5,bertscore,True,0.016319528571896797,0.03822473856135002,-0.05551425317302605,0.09339584357282733,0.663125,0.072375,Inconclusive
RJ,logreg,claude-3.5,pinc,True,-0.011218684386934413,0.04933189615102202,-0.10870548465126721,0.08546320340081356,0.408,0.08,Inconclusive
RJ,svm,claude-3.5,binary_acc1,False,0.9815376046234645,0.582777258651245,-0.08517606928549121,2.125669615078886,0.97475,0.016875,Significant Improvement
RJ,svm,claude-3.5,binary_acc5,False,0.5650979208275211,0.2910210236301714,0.002798572071218086,1.1493738696099682,0.978625,0.012,Significant Improvement
RJ,svm,claude-3.5,true_class_confidence,False,0.1542176470123655,0.15845187301551775,-0.13505284463460254,0.48912489952886895,0.16825,0.0495,Inconclusive
RJ,svm,claude-3.5,entropy,True,0.12894193361787723,0.1574900643520884,-0.17718129653103512,0.43627431752034124,0.79025,0.062,Inconclusive
RJ,svm,claude-3.5,bertscore,True,0.016047915313490528,0.03838907775366883,-0.06010832159652785,0.09042816018585823,0.65975,0.080625,Inconclusive
RJ,svm,claude-3.5,pinc,True,-0.012689226165853296,0.049586350588276755,-0.10887851275339566,0.08242267275553868,0.39975,0.070875,Inconclusive
RJ,roberta,claude-3.5,binary_acc1,False,1.017530883127754,0.5988706338733967,-0.10521988283252154,2.1686773168405717,0.975375,0.018,Significant Improvement
RJ,roberta,claude-3.5,binary_acc5,False,0.570001149369514,0.2939053363087584,0.005832842396471711,1.150486116040426,0.978875,0.00975,Significant Improvement
RJ,roberta,claude-3.5,true_class_confidence,False,0.1507522993129724,0.1580936646531002,-0.16512264230920348,0.4547868180386762,0.171875,0.050875,Inconclusive
RJ,roberta,claude-3.5,entropy,True,0.12946061888678004,0.15632553390837858,-0.18028563029413996,0.42410296909718637,0.794875,0.0545,Inconclusive
RJ,roberta,claude-3.5,bertscore,True,0.015879258804482373,0.03777807597524131,-0.05812298346739689,0.08823848604797117,0.662,0.073875,Inconclusive
RJ,roberta,claude-3.5,pinc,True,-0.012960800237398696,0.05052348007666151,-0.11333014091791618,0.0842010718524207,0.399625,0.07725,Inconclusive
RJ,logreg,gpt-4o,binary_acc1,False,0.5644320174954784,0.3802448391556914,-0.14235419087527937,1.3474757476417394,0.940875,0.025125,Inconclusive
RJ,logreg,gpt-4o,binary_acc5,False,0.09355192050907854,0.24780592094703918,-0.39855176179956564,0.584112047780578,0.646625,0.07675,Inconclusive
RJ,logreg,gpt-4o,true_class_confidence,False,0.18284012360486526,0.1608003197428181,-0.14462835628074142,0.48635381487541113,0.126375,0.039875,Inconclusive
RJ,logreg,gpt-4o,entropy,True,0.09772295351217161,0.14029163983681733,-0.1761796596415447,0.36592284107964657,0.757125,0.063375,Inconclusive
RJ,logreg,gpt-4o,bertscore,True,0.06170577679178083,0.0530120525554398,-0.042960979252372064,0.16358819973627597,0.879,0.03825,Inconclusive
RJ,logreg,gpt-4o,pinc,True,-0.08512030200278024,0.050135652932789536,-0.18568820183092194,0.010888514186894722,0.045,0.0165,Significant Deterioration
RJ,svm,gpt-4o,binary_acc1,False,0.5571931324786626,0.38862576372312935,-0.1982066220075655,1.3044195915266736,0.939,0.033,Inconclusive
RJ,svm,gpt-4o,binary_acc5,False,0.0802597945965906,0.2515098653525165,-0.3995197257640151,0.5861353014202861,0.623625,0.076,Inconclusive
RJ,svm,gpt-4o,true_class_confidence,False,0.18925409251600062,0.16335471187633205,-0.11983493771620603,0.520322828408181,0.11975,0.03775,Inconclusive
RJ,svm,gpt-4o,entropy,True,0.09987900124181352,0.1442372085102885,-0.18927055692772315,0.3766495651092417,0.76,0.063625,Inconclusive
RJ,svm,gpt-4o,bertscore,True,0.06155379891004268,0.0531651167382541,-0.04266868150284954,0.16639294548485714,0.874,0.03925,Inconclusive
RJ,svm,gpt-4o,pinc,True,-0.08548087257054782,0.05051327146871562,-0.17868808197833505,0.01931268568248151,0.04475,0.01725,Significant Deterioration
RJ,roberta,gpt-4o,binary_acc1,False,0.565156974482714,0.3827009097554398,-0.1755859289579445,1.3085086649188211,0.9405,0.027,Inconclusive
RJ,roberta,gpt-4o,binary_acc5,False,0.08529441478565128,0.2497173382133965,-0.411564787424606,0.5614622526285247,0.637375,0.073,Inconclusive
RJ,roberta,gpt-4o,true_class_confidence,False,0.18272644712577618,0.15933702923120216,-0.13555817547954485,0.4867560400205302,0.125125,0.039375,Inconclusive
RJ,roberta,gpt-4o,entropy,True,0.09684125401649289,0.14670384075972767,-0.2096551572692712,0.36833116635963725,0.75075,0.064125,Inconclusive
RJ,roberta,gpt-4o,bertscore,True,0.060654236796176826,0.05337092903940122,-0.04502436177639974,0.16212015432466625,0.871625,0.042,Inconclusive
RJ,roberta,gpt-4o,pinc,True,-0.08526976318751701,0.0508283264901911,-0.18495081415144324,0.014423955276012292,0.048625,0.02125,Significant Deterioration
