Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% CI Lower,95% CI Upper,P(Improvement),In ROPE,Conclusion
EBG,svm,Claude-3.5,true_class_confidence,False,Effectiveness,0.05310232236203274,0.03532647680613632,0.020268083473762254,0.002954514152492706,0.014620298913427476,0.024999905647449288,1.0,0.003875,Significant Decrease (Enhanced < Baseline)
EBG,svm,GPT-4o,true_class_confidence,False,Effectiveness,0.12271617242006201,0.11776334884996084,0.004992269684411449,0.0022607781131335648,0.0008911892256094657,0.00927545287736141,0.99075,0.98975,Practically Equivalent
EBG,svm,Gemma-2,true_class_confidence,False,Effectiveness,0.020426144402644376,0.035571898724084616,-0.01861316721895171,0.003113623228525906,-0.0241079240190433,-0.012993040540382653,0.0,0.011,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,entropy,True,Effectiveness,4.448142880508531,3.683562301900536,-0.9268175209587566,0.11473152644501375,-1.139807624389084,-0.7122992338597594,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,entropy,True,Effectiveness,4.142463866133889,3.296953326125937,-0.8954478824665063,0.11722900209119015,-1.1222124244289422,-0.6774121043557798,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Claude-3.5,entropy,True,Effectiveness,3.3081935268721385,4.020710794346994,0.6315524957131502,0.08556149325119737,0.4652225603413878,0.78605931319499,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,GPT-4o,entropy,True,Effectiveness,4.452574738914002,4.312422721909054,-0.2622142768350369,0.05212649074912859,-0.35826215560968827,-0.16316612497729802,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,entropy,True,Effectiveness,4.378951752909718,1.7885502602901604,-2.4957967443690787,0.09481854518844897,-2.667596599822847,-2.3113172998421785,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Llama-3.1,pinc,True,Quality,0.9424447891343466,0.7552916643383938,-0.19156063386172606,0.006561705346759907,-0.20368727278727577,-0.1789213897794376,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Ministral,pinc,True,Quality,0.9390689847836355,0.693060720412323,-0.24739787609058236,0.009680548966097423,-0.2653970249714876,-0.22903555279623666,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Claude-3.5,pinc,True,Quality,0.86255784084813,0.8748924342293395,0.034281098199673954,0.0062860009595931115,0.02255329854724468,0.045712905000210025,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,GPT-4o,pinc,True,Quality,0.6788876577248851,0.6949699282670398,0.021682359011049257,0.005616670495023359,0.011209441480138194,0.03211858270586915,1.0,0.018625,Significant Increase (Enhanced > Baseline)
EBG,svm,Gemma-2,pinc,True,Quality,0.943943135756397,0.8477493714696377,-0.08834583147642203,0.006353019466354397,-0.10041407246955006,-0.07650694794793933,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Llama-3.1,bertscore,True,Quality,0.498759860197703,0.695297315120697,0.19013238776377614,0.006118730143051151,0.17832973653323958,0.20117744426974482,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Ministral,bertscore,True,Quality,0.49002011855443317,0.7080218376053704,0.213747285060788,0.0077889942252794735,0.19865108913520207,0.22775485459514017,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Claude-3.5,bertscore,True,Quality,0.6507168981764052,0.5856881107224359,-0.06762155563455136,0.003928518451242967,-0.07527883941295826,-0.06041926065607123,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,GPT-4o,bertscore,True,Quality,0.803244715001848,0.7773988111813863,-0.029110663376397592,0.003221697360518255,-0.03505596132951519,-0.023084116087626394,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,bertscore,True,Quality,0.5017992471324073,0.6156210499339634,0.10539312849103383,0.007143579650516565,0.09229462160333785,0.11893051603993099,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Llama-3.1,meteor,True,Quality,0.17602654653338512,0.3529343875504825,0.18351082534576107,0.0083624295815235,0.16717435555688354,0.19872735809067488,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Ministral,meteor,True,Quality,0.15223938465529313,0.3241142570347386,0.18531724201381558,0.010624212535017183,0.16560720499795212,0.20512530624792025,1.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,svm,Claude-3.5,meteor,True,Quality,0.20016083031958368,0.21272185416829487,-0.001056475597609018,0.005687304633637821,-0.01195804571160286,0.009449547864275543,0.433625,0.913375,Inconclusive
EBG,svm,GPT-4o,meteor,True,Quality,0.46786209502015297,0.42615107589287365,-0.049559893053988856,0.006428326858486989,-0.062172907109881353,-0.03818508510932639,0.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,svm,Gemma-2,meteor,True,Quality,0.179282514215978,0.20495949402249594,0.024225701175621773,0.008260268611657153,0.00860152142515963,0.03964806264509019,0.998125,0.042,Significant Increase (Enhanced > Baseline)
EBG,roberta,Llama-3.1,accuracy@1,False,Effectiveness,0.0,0.5244444444444445,-0.5229262820539199,0.023773713813058615,-0.5505977007149213,-0.4838140457445752,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Ministral,accuracy@1,False,Effectiveness,0.0,0.5022222222222222,-0.4989169905931081,0.01214175728944901,-0.5099465695757093,-0.4803925725571092,0.0,0.0,Significant Increase (Enhanced > Baseline)
EBG,roberta,Claude-3.5,accuracy@1,False,Effectiveness,0.4488888888888889,0.27111111111111114,0.18381605812908394,0.011840148299535662,0.16199029956777686,0.19836018047170179,1.0,0.0,Significant Decrease (Enhanced < Baseline)
EBG,roberta,GPT-4o,accuracy@1,False,Effectiveness,0.5333333333333334,0.5066666666666666,0.023798884360421893,0.014941456663199773,-0.002610277610729038,0.05262300754224347,0.955,0.19025,Significant Decrease (Enhanced < Baseline)
